longitude,latitude,date,name
91.43331,25.894901,2023-06-29,Joramhuria-Khokhapara Road Landslide
93.038339,24.795353,2023-08-21,Lalpani Landslide
91.76544,26.19676,2023-10-06,Kharguli Landslide
91.793724,26.187105,2023-10-06,Bamunimaidam Landslide
91.798065,26.152334,2023-10-07,Lechubagan Landslide
91.75701,26.141897,2023-10-07,Kahilipara Landslide
88.52320007,27.39235464,2023-03-26,Sokpay Landslide
88.657305,27.613235,2023-05-19,Chungthang Landslide
88.64646,27.603889,2023-06-16,Chungthang 2 Landslide
88.250366,27.26933,2023-06-18,Kalej Khola Landslide
88.136778,27.254354,2023-06-18,Dentam Landslide
88.103311,27.142583,2023-06-18,Lower Okhrey Landslide
88.500328,27.535576,2023-07-12,Lingzya Busty Landslide
88.390868,27.299226,2023-07-14,Rafung Khola Landslide
88.728199,27.378152,2023-07-14,9th Mile Landslide
88.649425,27.565792,2023-07-14,Theng Landslide
88.55059,27.259994,2023-08-04,32 No. Landslide
88.550684,27.259936,2023-08-24,32 No. Landslide
88.08848,27.278215,2023-08-25,Lingzing Landslide
88.18362,27.912811,2023-10-04,Lhonak Landslide
91.62872,23.837263,2023-03-31,Teliamura Landslide
95.777581,28.233285,2024-04-24,Hunli-Anini
93.542196,27.78598,2024-05-16,Pach Nallah
